provider_npi,NPI
first_name,FirstName
middle_initial,MiddleName
last_name,LastName
degree,Degree
dob,BirthDate
gender,Gender
provider_type,Role
is_pcp,PCP Provider
specialty_1,Specialty
specialty_2,
specialty_3,
taxonomy_1,Taxonomy1Code
taxonomy_2,Taxonomy2Code
taxonomy_3,
primary_address,Primary Provider Location
address_line1,Address1and2
address_line2,
city,City
state,State
zip_code,Zip
phone,Telephone
fax,Fax
billing_npi,Group NPI
billing_address_line1,Billing Address
billing_address_line2,
billing_city,Billing City
billing_state,Billing State
billing_zip,Billing Zip
tax_id,TaxID
practice_name,Location Alias
practice_url,
pay_to_name,Doing Business As Name
effective_date,Effective Date
billing_contact,
billing_contact_email,
billing_contact_phone,
action,
note,Note
directory_listing,Directory Listing
