provider_npi,NPI
first_name,Provider First Name
middle_name,
middle_initial,MI
last_name,Provider Last Name
full_name,
suffix,Suffix
degree,Type of Provider
dob,DOB
gender,Gender
provider_type,Role
is_pcp,
specialty_1,Specialty
specialty_2,
specialty_3,
taxonomy_1,Taxonomy Code
taxonomy_2,
taxonomy_3,
primary_address,Primary or Secondary
address_line1,Primary Office Address Line 1
address_line2,Primary Office Address Line 2
city,Primary Office City
state,Primary Office State
zip_code,Primary Office Zip
phone,Primary Office Phone
fax,Primary Office Fax
billing_npi,Group NPI
billing_address_line1,Billing Addr Line 1
billing_address_line2,Billing Addr Line 2
billing_city,Billing City
billing_state,Billing State
billing_zip,Billing Zip
tax_id,TaxID
practice_name,Primary Group Name
practice_url,
pay_to_name,Billing Group Name
effective_date,Initial BOM Dt
billing_contact,
billing_contact_email,
billing_contact_phone,
action,
note,note
